Category,Product,College,Size,Selling Price,Units Sold,Cost Price,Month
Bags & Cases,Laptop Bag,DJ Sanghvi,15-inch,360,120,220.0,December
Accessories,Keychain,COEP,Adjustable,200,441,120.0,April
Gadgets,Wireless Mouse,Wilson College,128GB,710,369,550.0,July
Gadgets,Wireless Mouse,PCCOE,256GB,590,21,500.0,July
Gadgets,Earphones,Thakur College,64GB,740,393,400.0,January
Gadgets,Pendrive 32GB,SKNCOE,64GB,780,448,410.0,July
Gadgets,Earphones,AISSMS,128GB,550,390,340.0,October
Bags & Cases,College Pouch,SIES,15-inch,680,326,470.0,December
Gadgets,Pendrive 32GB,Bhavan's College,256GB,720,202,460.0,May
Accessories,Keychain,Rizvi College,Free Size,450,451,270.0,June
Bags & Cases,College Pouch,Bhavan's College,13-inch,640,498,410.0,August
Stationery,Branded Notebook,PICT,A4,140,292,100.0,January
Bags & Cases,Tote Bag,KJ Somaiya,15-inch,620,172,540.0,November
Bags & Cases,College Pouch,SKNCOE,13-inch,340,408,240.0,May
Bags & Cases,Tote Bag,Mumbai University,13-inch,290,186,230.0,March
Apparel,Hoodie,Thakur College,M,450,219,390.0,February
Accessories,College Socks,HR College,Large,340,318,300.0,May
Stationery,Sticky Notes,RAIT,A5,80,208,50.0,March
Apparel,Jacket,Rizvi College,S,640,217,340.0,November
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,15-inch,770,66,540.0,June
Gadgets,Wireless Mouse,Modern College,256GB,1310,336,940.0,January
Apparel,Jacket,PCCOE,M,550,470,290.0,April
Bags & Cases,College Pouch,Mumbai University,15-inch,360,441,180.0,April
Apparel,Sweatshirt,Fr. Agnel,L,660,98,510.0,May
Stationery,Branded Notebook,Rizvi College,A4,150,419,80.0,November
Apparel,Jacket,KJ Somaiya,L,600,129,400.0,January
Stationery,Folder,PICT,A4,50,91,40.0,September
Bags & Cases,Backpack,SIES,15-inch,600,397,430.0,March
Stationery,Pen Set,Thakur College,A4,70,186,40.0,March
Apparel,Jacket,Modern College,S,640,177,470.0,August
Stationery,Branded Notebook,SPIT,A5,150,156,90.0,April
Stationery,Sticky Notes,NMIMS,A4,120,230,100.0,August
Apparel,Sweatshirt,Wilson College,M,480,53,350.0,September
Bags & Cases,Backpack,Thakur College,17-inch,600,323,430.0,November
Bags & Cases,Laptop Bag,Thakur College,13-inch,360,344,250.0,February
Stationery,Pen Set,KJ Somaiya,A4,140,65,90.0,May
Accessories,College Badge,VIIT,Free Size,460,474,400.0,August
Stationery,Sticky Notes,DY Patil Pune,A5,70,480,50.0,September
Apparel,Sweatshirt,SIES,L,780,188,560.0,August
Apparel,Hoodie,SPIT,L,350,241,210.0,January
Accessories,Keychain,Mumbai University,Free Size,350,374,310.0,January
Stationery,Sticky Notes,KJ Somaiya,A5,80,180,70.0,May
Gadgets,Powerbank,KJ Somaiya,256GB,1360,273,1110.0,April
Gadgets,Earphones,Rizvi College,32GB,830,64,660.0,November
Bags & Cases,Backpack,RAIT,15-inch,260,373,160.0,January
Apparel,College T-Shirt,Rizvi College,S,490,126,400.0,January
Stationery,Branded Notebook,DY Patil Pune,B5,120,143,90.0,June
Stationery,Pen Set,Fr. Agnel,A5,140,266,120.0,March
Bags & Cases,Tote Bag,Fr. Agnel,17-inch,520,471,290.0,December
Accessories,College Cap,HR College,Large,60,307,50.0,November
Stationery,Sticky Notes,MIT WPU,A4,60,352,40.0,December
Accessories,Wrist Band,DY Patil Pune,Large,110,421,70.0,March
Gadgets,Earphones,PCCOE,128GB,1090,439,890.0,August
Bags & Cases,Laptop Bag,KJ Somaiya,15-inch,180,223,100.0,January
Gadgets,Earphones,DJ Sanghvi,32GB,1230,317,1010.0,May
Accessories,Keychain,Bhavan's College,Free Size,410,140,280.0,June
Stationery,Folder,VIT Pune,A5,80,146,50.0,April
Stationery,Pen Set,HR College,A5,110,74,80.0,April
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,13-inch,890,250,750.0,October
Apparel,Sweatshirt,AISSMS,M,570,173,500.0,January
Stationery,Branded Notebook,DY Patil Pune,A5,90,74,80.0,January
Gadgets,Pendrive 32GB,DY Patil Pune,128GB,650,138,450.0,January
Gadgets,Powerbank,VIIT,128GB,1150,64,740.0,July
Accessories,Shoes,SKNCOE,UK10,150,468,110.0,July
Bags & Cases,College Pouch,NMIMS,13-inch,230,203,130.0,March
Accessories,College Cap,HR College,Large,400,373,220.0,July
Gadgets,Pendrive 32GB,DY Patil Pune,32GB,1060,166,590.0,February
Gadgets,Powerbank,PICT,64GB,740,65,480.0,December
Apparel,College T-Shirt,NMIMS,L,400,296,230.0,July
Accessories,Wrist Band,DJ Sanghvi,Large,410,441,320.0,April
Apparel,College T-Shirt,VESIT,S,670,232,360.0,January
Stationery,Pen Set,Bharati Vidyapeeth,A4,50,361,30.0,April
Apparel,Jacket,Sinhgad College,L,760,209,500.0,March
Accessories,College Cap,St. Xavier's Mumbai,Large,220,146,180.0,June
Accessories,College Cap,HR College,Adjustable,270,25,140.0,October
Accessories,College Cap,Rizvi College,Free Size,260,363,210.0,May
Accessories,Shoes,DJ Sanghvi,UK9,50,478,40.0,May
Accessories,College Badge,HR College,Small,80,286,50.0,April
Accessories,College Cap,AISSMS,Free Size,350,264,270.0,December
Accessories,Shoes,MIT WPU,UK8,210,493,170.0,August
Accessories,College Cap,HR College,Large,430,442,240.0,April
Apparel,Hoodie,VIT Pune,M,500,491,410.0,August
Stationery,Branded Notebook,PCCOE,A5,70,142,60.0,April
Apparel,College T-Shirt,Sinhgad College,M,490,44,400.0,November
Apparel,Hoodie,PCCOE,L,780,10,670.0,September
Accessories,Wrist Band,Thakur College,Adjustable,340,272,290.0,March
Accessories,Wrist Band,Wilson College,Small,400,262,310.0,October
Apparel,Sweatshirt,Sinhgad College,S,550,461,290.0,October
Apparel,Sweatshirt,Thakur College,S,410,317,220.0,October
Accessories,Shoes,Modern College,UK8,110,245,80.0,October
Gadgets,Wireless Mouse,COEP,256GB,940,463,660.0,July
Stationery,Branded Notebook,AISSMS,B5,130,426,80.0,October
Accessories,Keychain,AISSMS,Large,210,203,170.0,July
Accessories,Wrist Band,MIT WPU,Adjustable,90,473,50.0,April
Stationery,Branded Notebook,Modern College,A5,130,366,80.0,May
Stationery,Branded Notebook,SIES,A5,110,499,80.0,February
Apparel,Sweatshirt,SPIT,M,700,470,480.0,December
Gadgets,Earphones,KJ Somaiya,128GB,500,359,300.0,October
Accessories,College Socks,Bhavan's College,Small,320,157,200.0,April
Gadgets,Pendrive 32GB,Wilson College,32GB,1410,295,860.0,April
Bags & Cases,Backpack,HR College,15-inch,610,183,380.0,November
Accessories,College Cap,Mumbai University,Free Size,190,196,120.0,April
Gadgets,Powerbank,Modern College,32GB,1450,61,1000.0,July
Apparel,Sweatshirt,Thakur College,L,720,279,490.0,December
Accessories,College Cap,St. Xavier's Mumbai,Free Size,410,497,310.0,March
Accessories,Wrist Band,RAIT,Large,150,64,80.0,May
Apparel,Jacket,DJ Sanghvi,M,520,120,400.0,August
Stationery,Pen Set,Sinhgad College,B5,70,261,40.0,March
Bags & Cases,Tote Bag,DJ Sanghvi,13-inch,590,101,320.0,December
Bags & Cases,Laptop Bag,KJ Somaiya,15-inch,350,148,260.0,October
Stationery,Folder,SPIT,A5,50,180,30.0,February
Bags & Cases,Backpack,SIES,17-inch,820,143,480.0,January
Stationery,Pen Set,Bhavan's College,A5,130,387,70.0,January
Apparel,College T-Shirt,PCCOE,S,320,87,230.0,March
Bags & Cases,College Pouch,Thakur College,15-inch,780,359,630.0,December
Accessories,College Socks,COEP,Small,210,256,140.0,February
Bags & Cases,College Pouch,SPIT,13-inch,220,474,120.0,September
Accessories,Wrist Band,VESIT,Free Size,450,164,230.0,August
Accessories,College Socks,DY Patil Pune,Free Size,310,434,240.0,October
Bags & Cases,Tote Bag,SPIT,17-inch,950,202,800.0,February
Stationery,Folder,Mumbai University,B5,100,32,90.0,January
Gadgets,Pendrive 32GB,Rizvi College,256GB,990,320,850.0,September
Stationery,Folder,Bharati Vidyapeeth,B5,130,200,100.0,September
Accessories,Shoes,RAIT,UK10,290,58,210.0,August
Accessories,Shoes,Fr. Agnel,UK8,260,174,160.0,May
Bags & Cases,Backpack,SIES,15-inch,290,362,160.0,December
Bags & Cases,Laptop Bag,PCCOE,17-inch,840,169,670.0,July
Gadgets,Powerbank,COEP,128GB,1080,184,640.0,October
Apparel,Jacket,HR College,S,570,194,500.0,June
Bags & Cases,College Pouch,Rizvi College,15-inch,780,491,400.0,February
Accessories,Wrist Band,Mumbai University,Small,160,397,120.0,October
Stationery,Branded Notebook,SKNCOE,A4,110,210,90.0,May
Bags & Cases,Backpack,Wilson College,15-inch,720,311,510.0,February
Gadgets,Powerbank,Thakur College,128GB,1040,500,740.0,August
Bags & Cases,Laptop Bag,Mumbai University,15-inch,160,241,140.0,July
Stationery,Pen Set,Wilson College,A4,50,245,30.0,November
Bags & Cases,College Pouch,Bharati Vidyapeeth,15-inch,530,328,410.0,June
Bags & Cases,College Pouch,VESIT,13-inch,640,358,470.0,June
Gadgets,Wireless Mouse,DY Patil Pune,256GB,1450,215,1190.0,December
Accessories,College Socks,Bhavan's College,Small,100,40,70.0,February
Stationery,Folder,VESIT,A5,90,125,60.0,March
Accessories,Wrist Band,SIES,Large,300,140,270.0,January
Stationery,Branded Notebook,Mumbai University,A5,110,317,100.0,January
Apparel,Hoodie,KJ Somaiya,L,350,243,240.0,November
Accessories,Wrist Band,MIT WPU,Free Size,110,325,80.0,September
Bags & Cases,College Pouch,Mumbai University,17-inch,920,24,730.0,November
Stationery,Branded Notebook,MIT WPU,A4,60,203,40.0,October
Bags & Cases,College Pouch,COEP,17-inch,610,461,350.0,May
Accessories,College Badge,Thakur College,Adjustable,330,127,270.0,December
Bags & Cases,Tote Bag,Modern College,15-inch,680,238,500.0,February
Gadgets,Powerbank,PICT,128GB,1240,474,630.0,December
Gadgets,Pendrive 32GB,AISSMS,128GB,1080,265,820.0,March
Apparel,Hoodie,DY Patil Pune,L,500,229,450.0,January
Bags & Cases,Tote Bag,VESIT,15-inch,350,320,260.0,November
Apparel,Sweatshirt,DJ Sanghvi,L,600,494,430.0,March
Gadgets,Earphones,HR College,128GB,1450,302,1290.0,November
Accessories,Wrist Band,VIT Pune,Small,70,72,50.0,July
Accessories,Wrist Band,Rizvi College,Small,60,225,50.0,November
Accessories,Keychain,Modern College,Small,390,290,200.0,September
Gadgets,Pendrive 32GB,SIES,64GB,1300,167,970.0,July
Accessories,Wrist Band,Bharati Vidyapeeth,Free Size,240,179,180.0,July
Apparel,College T-Shirt,PCCOE,S,670,218,460.0,January
Apparel,Hoodie,PCCOE,L,320,104,270.0,May
Accessories,College Socks,KJ Somaiya,Small,110,440,60.0,January
Accessories,College Socks,Fr. Agnel,Adjustable,210,450,110.0,October
Apparel,Hoodie,Bhavan's College,S,510,432,410.0,April
Apparel,Sweatshirt,SPIT,S,530,353,300.0,April
Accessories,College Socks,Rizvi College,Adjustable,330,410,220.0,August
Bags & Cases,Laptop Bag,Modern College,17-inch,220,104,170.0,November
Stationery,Pen Set,DY Patil Pune,B5,90,348,70.0,November
Gadgets,Powerbank,AISSMS,128GB,640,210,560.0,June
Apparel,Sweatshirt,AISSMS,M,510,153,300.0,March
Stationery,Pen Set,SKNCOE,A4,60,443,50.0,April
Apparel,College T-Shirt,COEP,S,310,13,160.0,January
Stationery,Branded Notebook,PCCOE,B5,50,416,30.0,June
Bags & Cases,Backpack,Bharati Vidyapeeth,13-inch,380,241,230.0,January
Apparel,Jacket,VESIT,L,440,481,250.0,September
Apparel,Hoodie,VIT Pune,S,340,171,200.0,January
Apparel,College T-Shirt,DY Patil Pune,L,720,289,480.0,January
Bags & Cases,College Pouch,Bhavan's College,17-inch,800,48,700.0,December
Gadgets,Powerbank,Fr. Agnel,256GB,600,500,410.0,August
Bags & Cases,Laptop Bag,VIT Pune,17-inch,500,393,330.0,October
Accessories,College Cap,SIES,Adjustable,270,125,170.0,January
Gadgets,Earphones,VIIT,256GB,650,267,570.0,July
Stationery,Pen Set,PICT,B5,90,400,60.0,August
Stationery,Sticky Notes,AISSMS,B5,130,91,110.0,February
Stationery,Sticky Notes,Fr. Agnel,B5,110,53,60.0,November
Apparel,College T-Shirt,VIIT,S,580,300,360.0,October
Bags & Cases,Laptop Bag,SIES,13-inch,470,391,320.0,October
Accessories,College Socks,HR College,Small,240,286,120.0,January
Apparel,Sweatshirt,DJ Sanghvi,M,510,261,360.0,September
Gadgets,Pendrive 32GB,VIT Pune,32GB,1090,77,600.0,March
Apparel,College T-Shirt,DJ Sanghvi,L,490,432,250.0,November
Gadgets,Powerbank,Bharati Vidyapeeth,128GB,540,266,380.0,February
Accessories,College Badge,VIIT,Adjustable,440,417,320.0,May
Apparel,College T-Shirt,Fr. Agnel,L,490,166,410.0,January
Bags & Cases,College Pouch,Mumbai University,13-inch,220,368,180.0,August
Bags & Cases,College Pouch,Thakur College,17-inch,700,305,360.0,February
Bags & Cases,Tote Bag,HR College,13-inch,690,144,510.0,November
Accessories,Keychain,PCCOE,Adjustable,390,359,270.0,November
Gadgets,Wireless Mouse,PICT,64GB,710,377,480.0,June
Accessories,Keychain,HR College,Small,390,437,310.0,May
Bags & Cases,Laptop Bag,Fr. Agnel,15-inch,870,353,440.0,February
Accessories,College Cap,AISSMS,Free Size,380,425,300.0,August
Apparel,College T-Shirt,VIIT,S,560,27,340.0,August
Accessories,Wrist Band,DY Patil Pune,Large,140,331,120.0,March
Apparel,Sweatshirt,SIES,M,730,175,650.0,September
Gadgets,Powerbank,SIES,128GB,600,13,310.0,September
Apparel,Sweatshirt,AISSMS,S,360,488,290.0,August
Stationery,Branded Notebook,MIT WPU,B5,90,269,50.0,February
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,15-inch,580,325,480.0,March
Stationery,Branded Notebook,Bharati Vidyapeeth,A5,120,423,60.0,March
Accessories,College Socks,DY Patil Pune,Large,430,394,300.0,June
Apparel,College T-Shirt,VIIT,M,690,111,420.0,September
Bags & Cases,College Pouch,Bhavan's College,15-inch,400,100,240.0,December
Bags & Cases,Tote Bag,PCCOE,13-inch,990,212,790.0,February
Apparel,College T-Shirt,Fr. Agnel,M,520,481,450.0,March
Accessories,College Cap,DJ Sanghvi,Large,230,320,180.0,March
Accessories,Keychain,HR College,Large,80,410,60.0,March
Accessories,Shoes,Rizvi College,UK9,150,234,100.0,October
Bags & Cases,Laptop Bag,Thakur College,15-inch,420,316,350.0,January
Stationery,Pen Set,SKNCOE,A4,120,393,100.0,April
Gadgets,Pendrive 32GB,COEP,32GB,1060,265,650.0,February
Apparel,Jacket,Fr. Agnel,M,320,321,250.0,July
Stationery,Folder,DY Patil Pune,A5,70,322,40.0,November
Stationery,Pen Set,PICT,A4,150,185,90.0,February
Gadgets,Earphones,HR College,32GB,1050,59,670.0,June
Stationery,Branded Notebook,RAIT,B5,90,42,60.0,July
Apparel,Hoodie,Modern College,M,320,297,220.0,November
Gadgets,Powerbank,SIES,128GB,1010,166,690.0,October
Accessories,College Badge,DY Patil Pune,Free Size,160,456,130.0,December
Accessories,Keychain,Fr. Agnel,Adjustable,500,209,270.0,September
Stationery,Pen Set,PCCOE,A4,80,221,70.0,September
Bags & Cases,Backpack,NMIMS,13-inch,400,476,230.0,November
Gadgets,Earphones,DY Patil Pune,256GB,900,186,690.0,September
Gadgets,Pendrive 32GB,VIIT,64GB,1150,197,750.0,January
Stationery,Branded Notebook,Rizvi College,A5,120,265,110.0,August
Stationery,Folder,VIT Pune,A5,130,98,70.0,November
Apparel,Hoodie,HR College,M,630,305,450.0,December
Accessories,Wrist Band,St. Xavier's Mumbai,Large,300,60,210.0,September
Apparel,Hoodie,Sinhgad College,L,540,47,420.0,December
Bags & Cases,College Pouch,DY Patil Pune,15-inch,460,484,290.0,March
Gadgets,Wireless Mouse,PICT,128GB,1370,129,990.0,August
Accessories,College Badge,Modern College,Large,440,346,340.0,August
Apparel,College T-Shirt,RAIT,M,500,302,270.0,March
Stationery,Pen Set,KJ Somaiya,B5,100,226,90.0,November
Gadgets,Earphones,VESIT,64GB,540,470,400.0,June
Gadgets,Earphones,SKNCOE,32GB,1060,263,730.0,August
Stationery,Pen Set,KJ Somaiya,A5,90,199,60.0,December
Apparel,College T-Shirt,AISSMS,L,400,479,210.0,November
Bags & Cases,Tote Bag,COEP,15-inch,390,427,300.0,October
Bags & Cases,College Pouch,NMIMS,15-inch,480,143,400.0,June
Apparel,Sweatshirt,SKNCOE,S,620,361,470.0,August
Apparel,Hoodie,Wilson College,M,570,315,380.0,August
Accessories,Keychain,NMIMS,Adjustable,450,334,350.0,June
Stationery,Pen Set,VIT Pune,A4,140,269,110.0,September
Stationery,Branded Notebook,VESIT,A4,70,238,60.0,April
Stationery,Folder,Fr. Agnel,A5,100,265,80.0,November
Stationery,Folder,AISSMS,A5,100,116,60.0,July
Stationery,Pen Set,VIIT,B5,130,32,80.0,October
Apparel,Sweatshirt,Bhavan's College,M,420,356,340.0,October
Bags & Cases,Laptop Bag,MIT WPU,13-inch,920,434,500.0,October
Stationery,Branded Notebook,Bharati Vidyapeeth,A5,90,168,70.0,July
Stationery,Pen Set,Bhavan's College,A4,80,266,60.0,September
Gadgets,Wireless Mouse,Bharati Vidyapeeth,32GB,650,66,430.0,November
Stationery,Branded Notebook,St. Xavier's Mumbai,B5,60,178,50.0,July
Accessories,College Socks,DJ Sanghvi,Adjustable,460,409,410.0,June
Bags & Cases,Laptop Bag,St. Xavier's Mumbai,15-inch,710,394,640.0,February
Gadgets,Earphones,SIES,64GB,500,218,360.0,November
Accessories,College Cap,St. Xavier's Mumbai,Large,180,271,140.0,June
Accessories,College Badge,HR College,Free Size,100,11,80.0,July
Accessories,Wrist Band,VESIT,Adjustable,490,348,270.0,August
Bags & Cases,Backpack,Wilson College,13-inch,290,120,210.0,October
Stationery,Sticky Notes,Thakur College,B5,50,77,40.0,March
Apparel,Sweatshirt,KJ Somaiya,L,420,278,220.0,October
Stationery,Folder,HR College,B5,140,93,110.0,June
Bags & Cases,Tote Bag,RAIT,15-inch,550,400,390.0,March
Apparel,Sweatshirt,DY Patil Pune,L,750,87,660.0,April
Gadgets,Wireless Mouse,NMIMS,64GB,890,294,460.0,August
Apparel,College T-Shirt,VESIT,S,310,168,250.0,April
Apparel,Jacket,Rizvi College,L,790,475,400.0,February
Accessories,Keychain,COEP,Free Size,300,259,220.0,December
Apparel,College T-Shirt,NMIMS,L,540,474,460.0,August
Accessories,Shoes,KJ Somaiya,UK7,500,155,320.0,November
Stationery,Sticky Notes,AISSMS,A5,150,64,110.0,July
Accessories,College Cap,Wilson College,Small,390,46,340.0,November
Stationery,Folder,VIT Pune,B5,50,123,40.0,April
Stationery,Branded Notebook,DY Patil Pune,B5,110,246,60.0,August
Gadgets,Powerbank,VIIT,128GB,760,326,440.0,July
Stationery,Pen Set,NMIMS,A4,110,354,60.0,October
Stationery,Sticky Notes,NMIMS,B5,50,38,40.0,January
Bags & Cases,Backpack,VIT Pune,13-inch,380,232,330.0,October
Bags & Cases,Laptop Bag,Mumbai University,13-inch,380,492,230.0,April
Accessories,Shoes,DJ Sanghvi,UK6,200,415,130.0,August
Apparel,Jacket,VIT Pune,L,400,377,220.0,January
Accessories,College Socks,Modern College,Adjustable,320,394,240.0,May
Gadgets,Powerbank,SIES,64GB,1230,93,670.0,November
Bags & Cases,Backpack,HR College,15-inch,630,23,320.0,August
Gadgets,Earphones,MIT WPU,32GB,610,19,380.0,January
Gadgets,Pendrive 32GB,VESIT,128GB,770,184,450.0,May
Apparel,Sweatshirt,Mumbai University,S,430,367,310.0,February
Accessories,Wrist Band,PICT,Large,430,89,250.0,January
Accessories,Keychain,Mumbai University,Free Size,420,183,300.0,May
Apparel,College T-Shirt,Bhavan's College,S,570,294,450.0,January
Apparel,College T-Shirt,KJ Somaiya,L,420,180,310.0,May
Accessories,Keychain,DJ Sanghvi,Adjustable,320,245,220.0,December
Apparel,Hoodie,PCCOE,S,760,141,540.0,September
Stationery,Branded Notebook,MIT WPU,A4,130,217,80.0,December
Bags & Cases,Laptop Bag,DJ Sanghvi,13-inch,630,79,420.0,September
Stationery,Pen Set,VIT Pune,A5,60,234,40.0,June
Apparel,Hoodie,PCCOE,L,570,219,450.0,April
Accessories,College Socks,Mumbai University,Small,490,294,370.0,November
Bags & Cases,College Pouch,Bhavan's College,13-inch,540,400,340.0,September
Bags & Cases,College Pouch,Thakur College,13-inch,790,144,540.0,December
Bags & Cases,Backpack,SPIT,17-inch,480,378,290.0,June
Gadgets,Earphones,AISSMS,256GB,1170,358,1010.0,April
Accessories,Wrist Band,Bhavan's College,Large,330,488,260.0,December
Gadgets,Earphones,MIT WPU,64GB,1310,189,1000.0,October
Stationery,Branded Notebook,Thakur College,A5,60,324,40.0,July
Gadgets,Powerbank,VESIT,128GB,680,434,370.0,April
Stationery,Folder,Rizvi College,A5,150,95,120.0,October
Stationery,Branded Notebook,Thakur College,A4,130,51,80.0,May
Accessories,Keychain,Rizvi College,Large,490,280,430.0,April
Gadgets,Powerbank,VIIT,256GB,1090,19,840.0,March
Apparel,College T-Shirt,VIIT,L,550,49,430.0,May
